Member,Rank,Joined,Parent,Total XP,Last Rank Date,Active Count,Rank Challenge Attempts,Next Rank Challenge Date,League Points
19Draco93,3,9-Jul-2024,,-1.0,28-Aug-2024,0.0,0.0,0.0,0.0
6reen8ean,8,8-Nov-2023,,15399925.0,22-Sep-2024,3.0,0.0,0.0,260.0
8zrael,1,16-Jul-2024,,-1.0,0,0.0,0.0,0,0.0
AfterParty32,4,20-Jul-2022,,50083277.0,02-Jan-2024,1.0,0.0,0.0,0.0
ALLis York,3,4-Apr-2022,,48792366.0,,0.0,0.0,0.0,0.0
AmirDragon,1,10-Jul-2024,,-1.0,0,0.0,0.0,0,0.0
ANGELirl,10,16-Jul-2024,,77879807.0,18-Nov-2024,0.0,0.0,0.0,0.0
astott2016,1,8-Jul-2024,,-1.0,0,0.0,0.0,0,0.0
AzGenesi,1,20-Oct-2024,,-1.0,0,0.0,0.0,0,3230.0
Back2Tangier,1,28-Jan-2024,,-1.0,,0.0,0.0,0.0,0.0
Bahamut277,10,14-Apr-2024,,119186911.0,22-Sep-2024,3.0,0.0,0.0,0.0
Baldrs Fate,9,21-Apr-2023,,22959673.0,22-Sep-2024,3.0,0.0,0.0,0.0
BaxkinFTW,3,6-Jan-2022,,-1.0,,0.0,0.0,0.0,0.0
beauxzo,13,20-Apr-2023,,234211206.0,14-Mar-2024,15.0,0.0,09-Apr-2024,3080.0
Big Dook,11,31-Mar-2023,,212238863.0,,15.0,0.0,0.0,3050.0
BirdtalonIM,2,27-Oct-2024,,100458286.0,0,2.0,0.0,0,0.0
Bl00d Tw1n,10,15-Aug-2022,,89409272.0,22-Sep-2024,3.0,0.0,0.0,0.0
Bleeblee69,9,23-Feb-2022,,35061842.0,22-Sep-2024,2.0,0.0,0.0,0.0
Bomby78,9,23-Mar-2024,,27765143.0,22-Sep-2024,3.0,0.0,0.0,0.0
boringboring,3,27-Jul-2024,,6733166.0,28-Aug-2024,0.0,0.0,0.0,0.0
BreadyMaggot,9,18-Jun-2023,,43162513.0,22-Sep-2024,3.0,0.0,0.0,9120.0
Cack a letta,1,12-Oct-2024,,9874560.0,0,2.0,0.0,0,0.0
CalamiTony,9,6-Apr-2022,,-1.0,22-Sep-2024,3.0,0.0,0.0,0.0
Captcha Code,2,9-Jul-2024,,78271476.0,0,0.0,0.0,0,0.0
ch ub,14,12-Aug-2022,,516074140.0,,15.0,0.0,0.0,0.0
chubonthecob,1,7-Nov-2024,,-1.0,0,0.0,0.0,0,0.0
Clue Scr Guy,3,10-Feb-2022,,-1.0,,0.0,0.0,0.0,0.0
Colemanbro96,1,19-Jan-2023,SpankMe_Ky,-1.0,,0.0,0.0,0.0,0.0
Coty Hill1,3,13-Aug-2022,,-1.0,,0.0,0.0,0.0,0.0
CousinVinnys,1,31-Aug-2023,,19674114.0,,0.0,0.0,0.0,0.0
Crazyphuq,10,10-May-2024,,241656550.0,22-Sep-2024,3.0,0.0,0.0,3700.0
Crinkle Fry,10,18-Nov-2023,,208733547.0,22-Sep-2024,3.0,0.0,0.0,20460.0
CV6 66,10,15-Oct-2023,,359532944.0,22-Sep-2024,3.0,0.0,0.0,12380.0
Darth Sucky,10,17-Feb-2023,,57733718.0,22-Sep-2024,4.0,0.0,0.0,0.0
DeadDefender,3,9-Sep-2024,,71681212.0,29-Oct-2024,1.0,0.0,0.0,0.0
DeBo4,2,24-Aug-2023,,110333759.0,,0.0,0.0,0.0,0.0
DemonCookiee,1,21-Apr-2023,,-1.0,,0.0,0.0,0.0,1040.0
Denian Tm,1,27-Apr-2023,,-1.0,,0.0,0.0,0.0,0.0
Derpfull,10,18-Mar-2024,,44385337.0,22-Sep-2024,3.0,0.0,0.0,0.0
desow666,1,6-Sep-2023,,-1.0,,0.0,0.0,0.0,0.0
Diaskori,1,8-Jul-2024,,-1.0,0,0.0,0.0,0,0.0
DiBiCosta,11,18-Jan-2022,,130286895.0,,15.0,0.0,0.0,3400.0
dibim,1,8-Nov-2024,,-1.0,0,0.0,0.0,0,0.0
Djfrogwater,3,20-Jan-2022,,-1.0,,0.0,0.0,0.0,0.0
dog_dj,10,23-Apr-2022,,153353390.0,22-Sep-2024,3.0,0.0,0.0,0.0
don cruz1,2,19-Jul-2024,,153943921.0,0,1.0,0.0,0,0.0
don cruz2,4,17-Jun-2024,,76672597.0,09-Oct-2024,1.0,0.0,0.0,0.0
DonkeyPaper,3,10-Jan-2022,,-1.0,,0.0,0.0,0.0,0.0
DottyCarrot6,4,18-Apr-2022,,-1.0,,0.0,0.0,0.0,0.0
Dr Chub,4,26-May-2023,ch ub,53796145.0,08-Jul-2024,1.0,0.0,0.0,0.0
DragonicRage,9,25-Mar-2023,,48137917.0,22-Sep-2024,3.0,0.0,0.0,0.0
DRJWHALE,3,5-Sep-2023,,1381805.0,,2.0,0.0,0.0,0.0
Droger btw,3,9-Jun-2024,,118121067.0,18-Jul-2024,0.0,0.0,0.0,0.0
Droger HCbtw,4,25-Aug-2024,,32773461.0,18-Nov-2024,0.0,0.0,0.0,1800.0
Dry Defender,10,2-Jun-2024,,686768012.0,22-Sep-2024,3.0,0.0,0.0,3500.0
E1 KUL,10,16-Jun-2023,,94556572.0,22-Sep-2024,3.0,0.0,0.0,6160.0
E2 KUL,4,1-Jun-2023,,43663269.0,18-May-2024,0.0,0.0,0.0,0.0
EETS4DAYZ,10,5-Apr-2022,,130376026.0,22-Sep-2024,3.0,0.0,0.0,0.0
Elindis,10,27-Jul-2024,,257298993.0,09-Oct-2024,2.0,0.0,0.0,0.0
ello im matt,10,4-Apr-2022,,128956738.0,22-Sep-2024,3.0,0.0,0.0,0.0
Eluhawk,9,21-Apr-2023,,15275154.0,22-Sep-2024,3.0,0.0,0.0,0.0
ExaUchiha,3,31-Jul-2024,,39671766.0,0,0.0,0.0,0,0.0
ExExitium,11,6-Jan-2022,,136058139.0,,15.0,0.0,0.0,0.0
exper15,10,26-Apr-2023,,90603602.0,22-Sep-2024,3.0,0.0,0.0,0.0
ExQuadrivium,3,8-Sep-2022,ExExitium,-1.0,,0.0,0.0,0.0,0.0
Exxeptional,4,24-Apr-2022,,32885469.0,,0.0,0.0,0.0,0.0
F arting,2,10-Nov-2024,,31214360.0,0,1.0,0.0,0,17450.0
F3ARL3SSxX,10,28-Mar-2024,,58045181.0,22-Sep-2024,3.0,0.0,0.0,0.0
FakeDrXenome,10,19-Oct-2023,,205277546.0,22-Sep-2024,3.0,0.0,0.0,9680.0
FangCutter25,3,6-Jan-2022,,-1.0,,0.0,0.0,0.0,0.0
Fe Spraguey,1,20-Nov-2024,,-1.0,0,0.0,0.0,0,0.0
Fingerblast,11,25-Feb-2023,,306656329.0,,15.0,0.0,0.0,0.0
FL N,2,25-Aug-2024,,50841231.0,0,0.0,0.0,0,0.0
Fortruin1005,1,11-Feb-2023,,-1.0,,0.0,0.0,0.0,0.0
Frawwg,3,23-Apr-2023,,-1.0,,0.0,0.0,0.0,0.0
Fringe117,D,6-Jan-2022,,113938939.0,,15.0,0.0,0.0,11910.0
FuzRoJods,1,15-Nov-2023,,-1.0,,0.0,0.0,0.0,0.0
Gebuccino,1,6-Oct-2024,,-1.0,0,0.0,0.0,0,0.0
GIM Breaux,7,29-May-2023,beauxzo,9265639.0,09-Oct-2024,2.0,0.0,0.0,0.0
GIM Lunur,1,1-Dec-2023,Stinky Queso,8901235.0,,0.0,0.0,0.0,0.0
GIM Sean K,10,7-Feb-2024,,189469049.0,22-Sep-2024,3.0,0.0,0.0,12940.0
Gluckie,12,28-Apr-2022,,358503055.0,,28.0,0.0,0.0,17610.0
GrayBush320,4,30-Nov-2022,,43166037.0,,0.0,0.0,0.0,0.0
GreatDroliux,1,1-Jun-2024,,-1.0,0,0.0,0.0,0,0.0
GreyCopium,10,3-Mar-2024,thoughtz,112534722.0,22-Sep-2024,3.0,0.0,0.0,0.0
HamletAffair,3,19-Aug-2022,,-1.0,,0.0,0.0,0.0,0.0
Hc walnut117,7,28-Mar-2022,Fringe117,4355973.0,22-Sep-2024,3.0,0.0,0.0,2780.0
HeavensLgnd,3,10-Jun-2024,,105674296.0,18-Jul-2024,0.0,0.0,0.0,0.0
HentaiSinpai,3,23-Dec-2023,,94512242.0,28-Aug-2024,0.0,0.0,0.0,0.0
HighKingKrim,10,8-Aug-2022,,50867909.0,22-Sep-2024,3.0,0.0,0.0,0.0
HotPotLuvr,1,21-Sep-2023,KBBQLuvr,12683470.0,,0.0,0.0,0.0,0.0
hsmpower,1,2-Oct-2022,,-1.0,,0.0,0.0,0.0,0.0
iAmLO0T,11,10-Mar-2022,,199229398.0,,15.0,0.0,0.0,0.0
IcarusOfHell,9,1-Mar-2022,,20251243.0,22-Sep-2024,3.0,0.0,0.0,0.0
